time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:00,0.0,"60,074","240,353","351,722",41,20,0.9941
2021/01/20-12:01,0.7,"69,586","259,009","374,212",42,21,0.9968
2021/01/20-12:02,1.4,"79,836","278,403","397,440",43,22,0.9982
2021/01/20-12:03,2.1,"91,014","298,907","421,856",44,22,0.9982
2021/01/20-12:04,2.8,"102,944","320,163","447,023",44,21,0.9968
2021/01/20-12:05,3.5,"115,625","342,172","472,943",45,24,0.9998
2021/01/20-12:06,4.2,"129,059","364,932","499,615",46,22,0.9982
2021/01/20-12:07,4.9,"143,245","388,445","527,039",47,23,0.9994
2021/01/20-12:08,5.6,"157,039","410,834","553,032",47,25,0.9999
2021/01/20-12:09,6.3,"172,671","435,792","581,901",47,25,0.9999
2021/01/20-12:10,7.0,"189,054","461,502","611,523",47,25,0.9999
2021/01/20-12:11,7.7,"205,310","486,536","640,237",47,24,0.9998
2021/01/20-12:12,6.4,"177,701","442,469","589,268",47,25,0.9999
2021/01/20-12:13,7.0,"191,356","463,622","613,566",46,25,0.9999
2021/01/20-12:14,7.7,"208,477","490,069","643,924",47,25,0.9999
2021/01/20-12:15,8.4,"226,351","517,269","675,035",47,26,1.0000
2021/01/20-12:16,9.0,"243,435","542,766","704,059",47,24,0.9998
2021/01/20-12:17,6.7,"187,111","455,535","603,869",47,25,0.9999
2021/01/20-12:18,6.5,"180,410","445,726","592,756",46,23,0.9994
2021/01/20-12:19,7.2,"196,971","471,614","622,554",47,25,0.9999
2021/01/20-12:20,7.9,"214,284","498,253","653,105",47,23,0.9994
2021/01/20-12:21,8.6,"232,349","525,645","684,408",48,24,0.9998
2021/01/20-12:22,6.2,"173,741","435,766","581,415",47,24,0.9998
2021/01/20-12:23,5.4,"154,579","406,180","547,457",46,26,1.0000
2021/01/20-12:24,6.1,"171,359","435,870","583,237",47,26,1.0000
2021/01/20-12:25,6.9,"187,961","462,164","613,596",48,25,0.9999
2021/01/20-12:26,7.5,"202,262","484,329","639,058",48,25,0.9999
2021/01/20-12:27,6.7,"185,763","458,138","608,803",48,26,1.0000
2021/01/20-12:28,7.2,"196,733","474,960","628,079",48,26,1.0000
