time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:00,0.0,"22,738","91,009","133,185",19,8,0.1730
2021/01/20-12:01,0.7,"26,268","97,933","141,531",24,13,0.7512
2021/01/20-12:02,1.4,"30,144","105,272","150,322",26,13,0.7512
2021/01/20-12:03,2.1,"34,372","113,031","159,563",29,15,0.8843
2021/01/20-12:04,2.8,"38,884","121,075","169,088",32,15,0.8843
2021/01/20-12:05,3.5,"43,681","129,404","178,898",33,17,0.9649
2021/01/20-12:06,4.2,"48,763","138,018","188,993",35,17,0.9649
2021/01/20-12:07,4.9,"54,129","146,917","199,373",37,17,0.9649
2021/01/20-12:08,5.6,"59,348","155,390","209,211",37,19,0.9893
2021/01/20-12:09,6.3,"65,262","164,836","220,138",38,20,0.9941
2021/01/20-12:10,7.0,"71,460","174,567","231,350",39,21,0.9968
2021/01/20-12:11,5.7,"61,186","157,851","211,934",35,20,0.9941
2021/01/20-12:12,6.4,"67,150","167,348","222,911",37,21,0.9968
2021/01/20-12:13,7.0,"72,532","175,708","232,520",37,19,0.9893
2021/01/20-12:14,7.7,"79,021","185,729","244,023",38,23,0.9994
2021/01/20-12:15,8.4,"85,796","196,035","255,810",39,22,0.9982
2021/01/20-12:16,6.8,"72,061","174,128","230,476",35,18,0.9807
2021/01/20-12:17,7.5,"78,461","184,060","241,889",37,21,0.9968
2021/01/20-12:18,7.2,"75,386","179,323","236,455",36,16,0.9363
2021/01/20-12:19,7.9,"81,936","189,406","248,019",37,17,0.9649
2021/01/20-12:20,8.6,"88,772","199,773","259,868",38,18,0.9807
2021/01/20-12:21,6.4,"69,217","169,345","224,880",35,18,0.9807
2021/01/20-12:22,7.1,"75,460","179,121","236,137",37,19,0.9893
2021/01/20-12:23,5.5,"60,054","155,819","209,524",35,20,0.9941
2021/01/20-12:24,6.2,"66,448","167,102","223,113",37,22,0.9982
2021/01/20-12:25,7.0,"72,774","177,099","234,649",38,20,0.9941
2021/01/20-12:26,5.6,"61,635","159,312","214,074",36,19,0.9893
2021/01/20-12:27,6.4,"67,721","169,068","225,370",38,20,0.9941
2021/01/20-12:28,6.9,"72,803","176,990","234,482",38,23,0.9994
2021/01/20-12:29,7.7,"79,414","187,271","246,302",39,22,0.9982
2021/01/20-12:30,8.4,"86,321","197,849","258,419",40,23,0.9994
2021/01/20-12:31,7.2,"77,435","185,444","245,051",38,21,0.9968
2021/01/20-12:32,7.9,"84,146","195,826","256,972",39,21,0.9968
2021/01/20-12:33,8.7,"91,154","206,504","269,189",40,22,0.9982
2021/01/20-12:34,9.4,"98,457","217,478","281,702",41,22,0.9982
2021/01/20-12:35,10.1,"106,057","228,748","294,512",42,23,0.9994
