time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:00,0.0,"51,184","204,795","299,689",38,17,0.9649
2021/01/20-12:01,0.7,"59,290","220,691","318,853",39,18,0.9807
2021/01/20-12:02,1.4,"68,023","237,216","338,645",41,21,0.9968
2021/01/20-12:03,2.1,"77,547","254,687","359,448",42,21,0.9968
2021/01/20-12:04,2.8,"87,712","272,799","380,893",43,22,0.9982
2021/01/20-12:05,3.5,"98,518","291,552","402,978",44,25,0.9999
2021/01/20-12:06,4.2,"109,965","310,945","425,705",44,23,0.9994
2021/01/20-12:07,4.9,"122,052","330,980","449,072",45,23,0.9994
2021/01/20-12:08,5.6,"133,318","349,258","470,290",45,23,0.9994
2021/01/20-12:09,6.3,"146,612","370,499","494,864",46,23,0.9994
2021/01/20-12:10,7.0,"160,547","392,380","520,078",46,23,0.9994
2021/01/20-12:11,5.8,"139,292","357,725","479,803",45,23,0.9994
2021/01/20-12:12,6.5,"152,787","379,167","504,577",45,23,0.9994
2021/01/20-12:13,7.0,"163,046","395,036","522,799",45,24,0.9998
2021/01/20-12:14,7.7,"177,635","417,571","548,666",46,25,0.9999
2021/01/20-12:15,8.4,"192,864","440,747","575,175",46,25,0.9999
2021/01/20-12:16,6.0,"146,809","368,047","491,301",45,23,0.9994
2021/01/20-12:17,6.7,"160,531","389,715","516,302",45,23,0.9994
2021/01/20-12:18,6.5,"154,372","380,596","505,941",45,22,0.9982
2021/01/20-12:19,7.2,"168,495","402,666","531,344",45,22,0.9982
2021/01/20-12:20,7.9,"183,260","425,377","557,388",46,24,0.9998
2021/01/20-12:21,6.5,"157,070","383,761","509,302",45,24,0.9998
2021/01/20-12:22,7.2,"171,231","405,869","534,743",45,23,0.9994
2021/01/20-12:23,5.6,"135,240","351,335","472,433",45,23,0.9994
2021/01/20-12:24,6.3,"149,675","376,772","503,058",46,24,0.9998
2021/01/20-12:25,7.0,"163,960","399,315","529,064",47,25,0.9999
2021/01/20-12:26,5.6,"136,569","355,874","478,893",46,23,0.9994
2021/01/20-12:27,6.3,"150,225","377,788","504,270",46,25,0.9999
2021/01/20-12:28,6.8,"159,207","391,757","520,330",46,25,0.9999
2021/01/20-12:29,7.5,"173,931","414,740","546,776",47,25,0.9999
2021/01/20-12:30,8.2,"189,321","438,388","573,888",47,25,0.9999
2021/01/20-12:31,5.7,"141,084","367,121","494,113",47,26,1.0000
2021/01/20-12:32,6.4,"154,815","389,111","519,566",48,26,1.0000
2021/01/20-12:33,7.2,"169,213","411,767","545,685",48,26,1.0000
2021/01/20-12:34,7.9,"184,276","435,089","572,470",49,25,0.9999
2021/01/20-12:35,8.6,"200,005","459,076","599,921",49,27,1.0000
2021/01/20-12:36,7.0,"169,368","409,741","542,744",47,24,0.9998
2021/01/20-12:37,7.7,"184,256","432,887","569,354",48,24,0.9998
2021/01/20-12:38,8.4,"198,834","455,100","594,769",48,25,0.9999
2021/01/20-12:39,9.1,"215,003","479,528","622,660",49,27,1.0000
2021/01/20-12:40,9.8,"232,805","508,487","656,873",49,26,1.0000
2021/01/20-12:41,7.3,"182,052","429,375","565,868",48,25,0.9999
2021/01/20-12:42,8.1,"197,266","452,847","592,804",48,27,1.0000
2021/01/20-12:43,8.6,"208,782","469,973","612,281",48,26,1.0000
2021/01/20-12:44,9.3,"225,115","494,564","640,336",48,27,1.0000
2021/01/20-12:45,10.0,"242,113","519,821","669,056",49,27,1.0000
2021/01/20-12:46,7.9,"198,835","453,169","592,602",48,26,1.0000
2021/01/20-12:47,8.7,"214,614","477,207","620,104",48,25,0.9999
2021/01/20-12:48,8.8,"216,641","480,325","623,679",48,24,0.9998
2021/01/20-12:49,9.5,"233,175","505,117","651,935",48,25,0.9999
2021/01/20-12:50,10.2,"250,374","530,575","680,856",49,25,0.9999
2021/01/20-12:51,8.1,"207,329","466,120","607,997",48,27,1.0000
2021/01/20-12:52,8.8,"223,234","490,284","635,624",48,25,0.9999
2021/01/20-12:53,5.8,"143,037","375,650","506,549",48,25,0.9999
2021/01/20-12:54,6.5,"156,831","397,702","532,065",48,27,1.0000
2021/01/20-12:55,7.2,"171,453","420,739","558,630",49,26,1.0000
2021/01/20-12:56,5.7,"142,851","375,152","505,921",48,26,1.0000
2021/01/20-12:57,6.5,"154,416","391,143","523,192",48,25,0.9999
2021/01/20-12:58,7.0,"165,363","408,166","542,764",47,24,0.9998
2021/01/20-12:59,7.8,"180,213","431,275","569,336",48,25,0.9999
2021/01/20-13:00,8.5,"195,728","455,049","596,573",48,25,0.9999
2021/01/20-13:01,5.9,"144,423","372,485","500,327",47,22,0.9982
2021/01/20-13:02,6.6,"158,480","394,957","526,326",47,24,0.9998
2021/01/20-13:03,7.4,"173,215","418,106","553,005",48,25,0.9999
2021/01/20-13:04,8.1,"188,629","441,935","580,362",49,26,1.0000
2021/01/20-13:05,8.9,"204,721","466,442","608,397",49,27,1.0000
2021/01/20-13:06,7.0,"169,136","410,288","543,618",47,25,0.9999
2021/01/20-13:07,7.8,"184,248","433,814","570,673",48,24,0.9998
2021/01/20-13:08,8.3,"194,522","446,643","583,999",47,24,0.9998
2021/01/20-13:09,9.0,"210,590","470,971","611,789",48,25,0.9999
2021/01/20-13:10,9.7,"227,325","495,964","640,246",48,25,0.9999
2021/01/20-13:11,7.4,"180,146","422,918","556,353",47,26,1.0000
2021/01/20-13:12,8.2,"195,623","446,809","583,773",47,25,0.9999
2021/01/20-13:13,8.5,"203,359","455,387","592,128",46,25,0.9999
2021/01/20-13:14,9.2,"219,654","479,940","620,145",46,25,0.9999
2021/01/20-13:15,10.0,"236,615","505,160","648,828",47,26,1.0000
2021/01/20-13:16,8.1,"197,997","444,883","579,468",46,25,0.9999
2021/01/20-13:17,8.8,"213,877","469,022","607,070",47,24,0.9998
2021/01/20-13:18,8.9,"217,434","473,981","612,618",46,23,0.9994
