time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/21-11:14,13.2,"118,052","224,639","280,490",36,21,0.9968
2021/01/21-11:15,13.9,"125,093","234,543","291,595",38,20,0.9941
2021/01/21-11:16,14.6,"127,933","237,298","294,119",37,19,0.9893
2021/01/21-11:17,13.8,"125,579","232,081","287,701",32,18,0.9807
2021/01/21-11:18,14.4,"131,910","240,745","297,343",33,19,0.9893
2021/01/21-11:19,15.2,"139,156","250,802","308,578",35,18,0.9807
2021/01/21-11:20,15.9,"146,630","261,085","320,040",36,18,0.9807
2021/01/21-11:21,16.4,"147,894","261,417","319,785",36,17,0.9649
2021/01/21-11:22,15.7,"146,402","257,326","314,605",31,17,0.9649
2021/01/21-11:23,5.6,"47,162","122,667","165,092",31,17,0.9649
2021/01/21-11:24,6.3,"51,745","130,007","173,589",33,19,0.9893
2021/01/21-11:25,7.1,"56,551","137,570","182,308",35,20,0.9941
2021/01/21-11:26,7.8,"61,578","145,355","191,249",36,19,0.9893
2021/01/21-11:27,6.9,"55,261","135,485","179,890",32,15,0.8843
2021/01/21-11:28,7.3,"58,561","140,535","185,673",32,16,0.9363
2021/01/21-11:29,8.0,"63,666","148,397","194,691",34,16,0.9363
2021/01/21-11:30,8.8,"68,993","156,481","203,932",35,17,0.9649
2021/01/21-11:31,9.3,"73,542","163,257","211,641",36,19,0.9893
2021/01/21-11:32,8.3,"67,394","153,239","200,000",31,15,0.8843
2021/01/21-11:33,9.1,"72,866","161,521","209,461",33,18,0.9807
2021/01/21-11:34,9.8,"78,895","171,346","221,073",35,18,0.9807
2021/01/21-11:35,10.5,"84,820","180,081","230,987",37,19,0.9893
2021/01/21-11:36,11.0,"87,790","183,285","234,093",36,19,0.9893
2021/01/21-11:37,10.0,"82,888","174,831","224,149",31,15,0.8843
2021/01/21-11:38,10.3,"84,837","177,946","227,754",33,15,0.8843
2021/01/21-11:39,11.0,"90,895","186,814","237,800",35,16,0.9363
2021/01/21-11:40,11.8,"97,180","195,909","248,073",36,17,0.9649
2021/01/21-11:41,12.5,"103,491","204,924","258,223",37,18,0.9807
2021/01/21-11:42,11.4,"98,035","196,743","249,094",32,14,0.8230
2021/01/21-11:43,11.5,"98,966","197,833","250,251",34,16,0.9363
2021/01/21-11:44,12.2,"105,464","207,194","260,813",36,17,0.9649
2021/01/21-11:45,13.0,"112,193","216,786","271,606",37,18,0.9807
2021/01/21-11:46,13.4,"117,173","223,516","279,069",37,19,0.9893
2021/01/21-11:47,12.7,"114,477","217,904","272,234",33,14,0.8230
2021/01/21-11:48,13.2,"119,760","225,095","280,226",34,15,0.8843
2021/01/21-11:49,13.9,"126,779","234,978","291,310",36,15,0.8843
2021/01/21-11:50,14.7,"134,030","245,092","302,624",37,14,0.8230
2021/01/21-11:51,15.2,"140,171","253,301","311,700",37,16,0.9363
2021/01/21-11:52,14.9,"140,703","252,507","310,351",33,15,0.8843
2021/01/21-11:53,6.2,"52,322","131,199","175,234",33,16,0.9363
2021/01/21-11:54,6.9,"57,207","138,948","184,184",35,18,0.9807
2021/01/21-11:55,7.7,"62,324","146,928","193,364",37,19,0.9893
2021/01/21-11:56,8.3,"66,671","153,608","201,023",38,18,0.9807
2021/01/21-11:57,7.5,"62,175","146,195","192,387",33,14,0.8230
2021/01/21-11:58,8.2,"66,667","153,021","200,191",34,15,0.8843
2021/01/21-11:59,8.9,"71,265","159,072","206,656",35,16,0.9363
2021/01/21-12:00,9.6,"76,896","167,512","216,274",36,16,0.9363
