time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-13:24,12.3,"219,113","448,238","571,701",112,112,1.0000
2021/01/20-13:25,13.1,"232,207","467,206","593,131",112,112,1.0000
2021/01/20-13:26,11.4,"204,958","427,283","547,894",110,110,1.0000
2021/01/20-13:27,12.2,"217,504","445,702","568,776",111,111,1.0000
2021/01/20-13:28,11.3,"206,235","427,941","548,293",111,111,1.0000
2021/01/20-13:29,12.1,"218,677","446,256","569,071",112,112,1.0000
2021/01/20-13:30,12.9,"231,646","465,150","590,449",112,112,1.0000
2021/01/20-13:31,10.4,"175,924","391,139","508,769",111,111,1.0000
2021/01/20-13:32,11.2,"187,797","408,885","528,977",111,111,1.0000
2021/01/20-13:33,10.2,"172,911","386,735","503,781",112,112,1.0000
2021/01/20-13:34,11.0,"184,692","404,389","523,898",112,112,1.0000
2021/01/20-13:35,11.8,"196,947","422,517","544,489",112,112,1.0000
2021/01/20-13:36,10.6,"181,279","398,143","516,463",111,111,1.0000
2021/01/20-13:37,11.4,"193,305","416,042","536,826",112,112,1.0000
2021/01/20-13:38,10.4,"178,677","394,150","511,887",112,112,1.0000
2021/01/20-13:39,11.2,"190,665","412,063","532,285",112,112,1.0000
2021/01/20-13:40,12.0,"203,020","430,291","552,975",112,112,1.0000
2021/01/20-13:41,10.7,"183,556","400,935","519,471",111,111,1.0000
2021/01/20-13:42,11.5,"195,491","418,692","539,670",111,111,1.0000
2021/01/20-13:43,11.2,"193,003","414,040","534,111",112,112,1.0000
2021/01/20-13:44,12.0,"205,126","431,933","554,423",112,112,1.0000
2021/01/20-13:45,12.8,"217,656","450,233","575,143",112,112,1.0000
2021/01/20-13:46,11.7,"202,031","426,726","548,330",111,111,1.0000
2021/01/20-13:47,12.5,"214,390","444,855","568,880",112,112,1.0000
2021/01/20-13:48,11.6,"201,980","425,748","546,963",112,112,1.0000
2021/01/20-13:49,12.3,"214,286","443,823","567,459",113,113,1.0000
2021/01/20-13:50,13.1,"226,966","462,222","588,255",113,113,1.0000
2021/01/20-13:51,12.0,"205,859","432,924","555,522",111,111,1.0000
2021/01/20-13:52,12.8,"218,340","451,123","576,119",112,112,1.0000
2021/01/20-13:53,11.8,"206,561","432,132","554,103",112,112,1.0000
2021/01/20-13:54,12.6,"218,913","450,202","574,572",112,112,1.0000
2021/01/20-13:55,13.3,"231,725","468,733","595,501",112,112,1.0000
2021/01/20-13:56,11.3,"192,731","414,490","534,863",111,111,1.0000
2021/01/20-13:57,12.0,"204,606","431,980","554,708",112,112,1.0000
2021/01/20-13:58,11.2,"193,110","414,301","534,437",111,111,1.0000
2021/01/20-13:59,12.0,"204,947","431,754","554,244",112,112,1.0000
2021/01/20-14:00,12.7,"217,146","449,518","574,341",112,112,1.0000
2021/01/20-14:01,10.7,"184,437","401,713","520,207",111,111,1.0000
2021/01/20-14:02,11.4,"196,000","418,892","539,740",111,111,1.0000
2021/01/20-14:03,10.6,"185,442","402,255","520,554",111,111,1.0000
2021/01/20-14:04,11.4,"196,906","419,283","539,915",111,111,1.0000
2021/01/20-14:05,12.1,"208,819","436,759","559,725",111,111,1.0000
2021/01/20-14:06,10.0,"169,824","382,051","498,427",111,111,1.0000
2021/01/20-14:07,10.8,"180,931","398,722","517,431",111,111,1.0000
2021/01/20-14:08,10.4,"177,158","392,373","510,003",110,110,1.0000
2021/01/20-14:09,11.2,"188,597","409,427","529,412",111,111,1.0000
2021/01/20-14:10,11.9,"200,541","427,039","549,400",111,111,1.0000
2021/01/20-14:11,10.3,"177,241","391,941","509,354",111,111,1.0000
2021/01/20-14:12,11.1,"188,745","409,164","528,975",111,111,1.0000
2021/01/20-14:13,10.4,"178,549","393,919","511,613",111,111,1.0000
2021/01/20-14:14,11.2,"190,235","411,375","531,489",112,112,1.0000
2021/01/20-14:15,12.0,"202,387","429,297","551,831",112,112,1.0000
2021/01/20-14:16,11.0,"183,556","402,944","522,323",112,112,1.0000
2021/01/20-14:17,11.8,"195,567","420,725","542,524",112,112,1.0000
2021/01/20-14:18,10.6,"177,407","394,271","512,591",112,112,1.0000
2021/01/20-14:19,11.4,"189,267","411,953","532,715",113,113,1.0000
2021/01/20-14:20,12.2,"201,597","430,104","553,308",113,113,1.0000
2021/01/20-14:21,11.5,"191,280","414,790","535,897",112,112,1.0000
2021/01/20-14:22,12.3,"203,676","433,008","556,557",112,112,1.0000
2021/01/20-14:23,11.6,"194,729","418,600","539,859",113,113,1.0000
2021/01/20-14:24,12.4,"207,209","436,952","560,674",113,113,1.0000
2021/01/20-14:25,13.2,"220,161","455,778","581,963",113,113,1.0000
2021/01/20-14:26,11.7,"196,100","420,537","542,034",112,112,1.0000
2021/01/20-14:27,12.5,"208,679","439,040","563,021",113,113,1.0000
2021/01/20-14:28,11.7,"198,830","423,782","545,495",114,114,1.0000
2021/01/20-14:29,12.5,"211,333","442,211","566,408",114,114,1.0000
2021/01/20-14:30,13.3,"224,369","461,222","587,925",114,114,1.0000
2021/01/20-14:31,11.9,"200,591","426,625","548,791",113,113,1.0000
2021/01/20-14:32,12.7,"213,235","445,246","569,918",114,114,1.0000
2021/01/20-14:33,11.8,"201,242","426,865","548,858",115,115,1.0000
2021/01/20-14:34,12.6,"213,854","445,452","569,952",115,115,1.0000
2021/01/20-14:35,13.4,"226,947","464,522","591,527",115,115,1.0000
2021/01/20-14:36,11.8,"201,822","427,187","549,072",114,114,1.0000
2021/01/20-14:37,12.6,"214,230","445,519","569,889",114,114,1.0000
2021/01/20-14:38,12.1,"207,371","434,951","557,766",115,115,1.0000
2021/01/20-14:39,12.9,"219,702","453,052","578,286",115,115,1.0000
2021/01/20-14:40,13.6,"232,498","471,618","599,272",115,115,1.0000
2021/01/20-14:41,11.8,"201,067","426,792","548,829",114,114,1.0000
2021/01/20-14:42,12.6,"213,373","444,868","569,324",114,114,1.0000
2021/01/20-14:43,11.8,"200,066","425,225","547,024",113,113,1.0000
2021/01/20-14:44,12.5,"212,442","443,422","567,662",114,114,1.0000
2021/01/20-14:45,13.3,"225,287","462,089","588,771",114,114,1.0000
2021/01/20-14:46,12.3,"210,728","439,956","563,462",113,113,1.0000
2021/01/20-14:47,13.1,"223,432","458,482","584,429",113,113,1.0000
2021/01/20-14:48,12.4,"215,785","445,941","569,835",114,114,1.0000
2021/01/20-14:49,13.2,"228,576","464,554","590,889",114,114,1.0000
2021/01/20-14:50,14.0,"241,837","483,636","612,413",114,114,1.0000
2021/01/20-14:51,13.0,"226,881","461,364","587,073",113,113,1.0000
2021/01/20-14:52,13.8,"240,021","480,326","608,477",113,113,1.0000
2021/01/20-14:53,12.9,"228,074","461,888","587,316",114,114,1.0000
2021/01/20-14:54,13.7,"241,169","480,804","608,674",114,114,1.0000
2021/01/20-14:55,14.5,"254,733","500,190","630,501",114,114,1.0000
2021/01/20-14:56,12.6,"222,173","453,566","577,979",113,113,1.0000
2021/01/20-14:57,13.4,"234,998","472,161","598,993",113,113,1.0000
2021/01/20-14:58,12.4,"222,381","452,692","576,651",113,113,1.0000
2021/01/20-14:59,13.2,"235,119","471,200","597,579",114,114,1.0000
2021/01/20-15:00,14.0,"248,322","490,173","618,971",114,114,1.0000
2021/01/20-15:01,11.5,"197,930","421,595","542,767",113,113,1.0000
2021/01/20-15:02,12.3,"210,132","439,566","563,159",113,113,1.0000
2021/01/20-15:03,11.4,"196,788","419,371","540,089",113,113,1.0000
2021/01/20-15:04,12.2,"208,902","437,255","560,394",114,114,1.0000
2021/01/20-15:05,13.0,"221,482","455,605","581,163",114,114,1.0000
2021/01/20-15:06,11.0,"187,055","406,856","526,408",113,113,1.0000
2021/01/20-15:07,11.8,"198,945","424,516","546,488",113,113,1.0000
2021/01/20-15:08,11.2,"189,625","410,713","530,805",113,113,1.0000
2021/01/20-15:09,12.0,"201,598","428,508","551,041",114,114,1.0000
2021/01/20-15:10,12.8,"214,040","446,772","571,746",114,114,1.0000
2021/01/20-15:11,11.2,"189,638","410,675","530,745",113,113,1.0000
2021/01/20-15:12,12.0,"201,606","428,465","550,977",114,114,1.0000
2021/01/20-15:13,11.2,"189,668","410,499","530,483",114,114,1.0000
2021/01/20-15:14,12.0,"201,620","428,273","550,698",115,115,1.0000
2021/01/20-15:15,12.7,"214,042","446,516","571,383",115,115,1.0000
2021/01/20-15:16,11.5,"191,694","415,307","536,458",114,114,1.0000
2021/01/20-15:17,12.3,"203,871","433,305","556,897",114,114,1.0000
2021/01/20-15:18,11.4,"192,038","414,724","535,486",115,115,1.0000
2021/01/20-15:19,12.2,"204,193","432,752","555,977",115,115,1.0000
2021/01/20-15:20,13.0,"216,731","451,112","576,778",115,115,1.0000
2021/01/20-15:21,12.5,"210,888","441,817","566,036",114,114,1.0000
2021/01/20-15:22,13.3,"223,617","460,368","587,028",114,114,1.0000
2021/01/20-15:23,11.8,"203,401","429,229","551,309",115,115,1.0000
2021/01/20-15:24,12.6,"215,719","447,369","571,890",115,115,1.0000
2021/01/20-15:25,13.4,"228,506","465,977","592,940",115,115,1.0000
2021/01/20-15:26,12.0,"205,962","432,666","555,113",113,113,1.0000
2021/01/20-15:27,12.8,"218,499","451,076","575,986",114,114,1.0000
2021/01/20-15:28,11.9,"207,859","434,254","556,571",115,115,1.0000
2021/01/20-15:29,12.7,"220,139","452,305","577,042",115,115,1.0000
2021/01/20-15:30,13.5,"232,774","470,657","597,793",115,115,1.0000
2021/01/20-15:31,11.8,"205,007","430,578","552,549",113,113,1.0000
2021/01/20-15:32,12.6,"217,192","448,482","572,852",114,114,1.0000
2021/01/20-15:33,11.7,"206,648","431,755","553,532",114,114,1.0000
2021/01/20-15:34,12.5,"218,626","449,349","573,481",114,114,1.0000
2021/01/20-15:35,13.3,"231,058","467,396","593,883",114,114,1.0000
2021/01/20-15:36,11.1,"187,686","408,053","527,843",113,113,1.0000
2021/01/20-15:37,11.9,"199,390","425,476","547,663",114,114,1.0000
2021/01/20-15:38,11.3,"192,122","413,674","533,961",114,114,1.0000
2021/01/20-15:39,12.0,"204,112","431,485","554,213",114,114,1.0000
2021/01/20-15:40,12.8,"216,480","449,623","574,771",114,114,1.0000
2021/01/20-15:41,11.6,"198,503","422,219","543,413",114,114,1.0000
2021/01/20-15:42,12.3,"210,477","439,911","563,503",114,114,1.0000
2021/01/20-15:43,11.6,"199,922","423,947","545,270",115,115,1.0000
2021/01/20-15:44,12.4,"211,858","441,550","565,250",115,115,1.0000
2021/01/20-15:45,13.1,"224,252","459,611","585,688",115,115,1.0000
2021/01/20-15:46,12.0,"206,701","433,456","555,925",114,114,1.0000
2021/01/20-15:47,12.7,"218,787","451,159","575,982",114,114,1.0000
2021/01/20-15:48,11.5,"198,712","421,809","542,744",114,114,1.0000
2021/01/20-15:49,12.2,"210,524","439,237","562,527",114,114,1.0000
2021/01/20-15:50,13.0,"222,843","457,223","582,889",114,114,1.0000
2021/01/20-15:51,12.1,"206,488","434,428","557,394",113,113,1.0000
2021/01/20-15:52,12.9,"218,744","452,352","577,694",114,114,1.0000
2021/01/20-15:53,12.0,"207,531","434,390","556,901",114,114,1.0000
2021/01/20-15:54,12.7,"219,704","452,230","577,118",114,114,1.0000
2021/01/20-15:55,13.5,"232,335","470,528","597,793",114,114,1.0000
2021/01/20-15:56,11.1,"189,001","409,677","529,596",114,114,1.0000
2021/01/20-15:57,11.9,"200,729","427,124","549,442",114,114,1.0000
2021/01/20-15:58,10.8,"184,994","403,352","522,299",114,114,1.0000
2021/01/20-15:59,11.6,"196,680","420,859","542,248",114,114,1.0000
2021/01/20-16:00,12.4,"208,835","438,836","562,666",115,115,1.0000
2021/01/20-16:01,10.6,"176,688","393,552","511,872",114,114,1.0000
2021/01/20-16:02,11.4,"188,398","411,135","531,919",114,114,1.0000
2021/01/20-16:03,11.0,"183,391","403,191","522,743",114,114,1.0000
2021/01/20-16:04,11.8,"195,255","420,878","542,871",115,115,1.0000
2021/01/20-16:05,12.6,"207,590","439,033","563,468",115,115,1.0000
2021/01/20-16:06,10.6,"175,659","392,368","510,624",114,114,1.0000
2021/01/20-16:07,11.4,"187,295","409,826","530,523",114,114,1.0000
2021/01/20-16:08,11.0,"182,063","401,606","521,050",115,115,1.0000
2021/01/20-16:09,11.8,"193,696","418,958","540,800",115,115,1.0000
2021/01/20-16:10,12.5,"205,790","436,770","561,011",115,115,1.0000
2021/01/20-16:11,11.0,"183,996","403,951","523,568",114,114,1.0000
2021/01/20-16:12,11.8,"195,716","421,441","543,477",114,114,1.0000
2021/01/20-16:13,11.2,"187,264","408,507","528,664",115,115,1.0000
2021/01/20-16:14,12.0,"199,248","426,365","548,985",115,115,1.0000
2021/01/20-16:15,12.8,"211,707","444,696","569,779",116,116,1.0000
2021/01/20-16:16,11.7,"195,040","419,580","541,120",115,115,1.0000
2021/01/20-16:17,12.5,"207,270","437,683","561,686",115,115,1.0000
