time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:00,0.0,"43,006","172,081","251,819",36,22,0.9982
2021/01/20-12:01,0.7,"49,817","185,439","267,922",37,21,0.9968
2021/01/20-12:02,1.4,"57,155","199,324","284,553",39,19,0.9893
2021/01/20-12:03,2.1,"65,158","214,005","302,033",40,22,0.9982
2021/01/20-12:04,2.8,"73,700","229,224","320,053",41,21,0.9968
2021/01/20-12:05,3.5,"82,780","244,981","338,611",42,20,0.9941
2021/01/20-12:06,4.2,"92,398","261,277","357,707",43,21,0.9968
2021/01/20-12:07,4.9,"102,555","278,112","377,342",44,25,0.9999
2021/01/20-12:08,5.6,"112,021","293,470","395,171",44,23,0.9994
2021/01/20-12:09,6.3,"123,192","311,319","415,820",44,23,0.9994
2021/01/20-12:10,7.0,"134,901","329,706","437,007",45,23,0.9994
2021/01/20-12:11,5.6,"114,834","297,069","399,099",44,23,0.9994
2021/01/20-12:12,6.3,"126,068","314,981","419,811",44,24,0.9998
2021/01/20-12:13,6.8,"134,583","328,209","435,016",44,23,0.9994
2021/01/20-12:14,7.6,"146,736","347,040","456,647",44,25,0.9999
2021/01/20-12:15,8.3,"159,427","366,408","478,816",45,25,0.9999
2021/01/20-12:16,5.7,"117,786","300,675","402,980",44,25,0.9999
2021/01/20-12:17,6.4,"129,072","318,639","423,744",44,25,0.9999
2021/01/20-12:18,6.2,"123,654","310,734","414,796",44,21,0.9968
2021/01/20-12:19,6.9,"135,279","329,036","435,898",44,22,0.9982
2021/01/20-12:20,7.6,"147,442","347,877","457,539",45,22,0.9982
2021/01/20-12:21,6.0,"122,117","307,363","410,656",43,23,0.9994
2021/01/20-12:22,6.7,"133,594","325,518","431,611",44,23,0.9994
2021/01/20-12:23,5.4,"110,030","289,646","390,578",43,25,0.9999
2021/01/20-12:24,6.1,"122,002","310,862","416,153",44,24,0.9998
2021/01/20-12:25,6.8,"133,846","329,646","437,847",45,25,0.9999
2021/01/20-12:26,5.5,"113,671","297,163","400,204",44,24,0.9998
2021/01/20-12:27,6.2,"125,083","315,514","421,465",45,26,1.0000
2021/01/20-12:28,6.8,"133,776","329,052","437,034",45,26,1.0000
2021/01/20-12:29,7.5,"146,138","348,353","459,246",46,25,0.9999
2021/01/20-12:30,8.2,"159,059","368,214","482,017",46,24,0.9998
2021/01/20-12:31,6.8,"138,208","338,617","449,718",46,26,1.0000
2021/01/20-12:32,7.5,"150,591","357,939","471,950",47,27,1.0000
2021/01/20-12:33,8.3,"163,534","377,821","494,743",47,25,0.9999
2021/01/20-12:34,9.0,"177,036","398,263","518,094",47,25,0.9999
