Name,Latitude,Longitude,Ballistic Defense,Cruise Defense
Akita Aegis Ashore,39.762186,140.085186,SM-3 Block IIA,SM-6
Yamaguchi Aegis Ashore,34.188626,131.485949,SM-3 Block IIA,SM-6
