time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:00,0.0,"28,783","115,189","168,567",26,13,0.7512
2021/01/20-12:01,0.7,"33,342","124,130","179,346",29,15,0.8843
2021/01/20-12:02,1.4,"38,255","133,426","190,479",31,17,0.9649
2021/01/20-12:03,2.1,"43,612","143,253","202,181",34,18,0.9807
2021/01/20-12:04,2.8,"49,330","153,441","214,244",36,15,0.8843
2021/01/20-12:05,3.5,"55,408","163,990","226,667",37,18,0.9807
2021/01/20-12:06,4.2,"61,847","174,898","239,450",39,22,0.9982
2021/01/20-12:07,4.9,"68,646","186,168","252,595",40,21,0.9968
2021/01/20-12:08,5.6,"75,257","196,899","265,053",40,20,0.9941
2021/01/20-12:09,6.3,"82,749","208,861","278,890",41,22,0.9982
2021/01/20-12:10,7.0,"90,602","221,184","293,087",42,22,0.9982
2021/01/20-12:11,5.6,"76,866","198,858","267,159",39,21,0.9968
2021/01/20-12:12,6.3,"84,387","210,849","281,024",40,23,0.9994
2021/01/20-12:13,6.9,"90,635","220,603","292,249",40,22,0.9982
2021/01/20-12:14,7.6,"98,799","233,237","306,758",41,22,0.9982
2021/01/20-12:15,8.3,"107,323","246,231","321,626",42,22,0.9982
2021/01/20-12:16,6.8,"90,806","219,809","291,051",39,21,0.9968
2021/01/20-12:17,7.5,"98,891","232,365","305,482",40,24,0.9998
2021/01/20-12:18,7.0,"93,013","223,507","295,374",39,18,0.9807
2021/01/20-12:19,7.7,"101,219","236,183","309,924",40,19,0.9893
2021/01/20-12:20,8.4,"109,785","249,220","324,835",41,19,0.9893
2021/01/20-12:21,6.4,"87,291","213,841","284,053",39,22,0.9982
2021/01/20-12:22,7.1,"95,179","226,199","298,286",40,22,0.9982
2021/01/20-12:23,5.4,"74,163","194,840","262,589",39,21,0.9968
2021/01/20-12:24,6.2,"82,212","209,078","279,746",41,22,0.9982
2021/01/20-12:25,6.9,"90,177","221,687","294,304",42,23,0.9994
2021/01/20-12:26,5.7,"77,375","201,084","270,430",40,20,0.9941
2021/01/20-12:27,6.4,"85,084","213,440","284,733",41,24,0.9998
2021/01/20-12:28,6.9,"90,440","221,775","294,318",41,24,0.9998
