time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:00,0.0,"12,782","51,184","74,908",0,0,0.0000
2021/01/20-12:01,0.7,"14,768","55,079","79,603",4,2,0.0000
2021/01/20-12:02,1.4,"16,948","59,207","84,548",6,3,0.0001
2021/01/20-12:03,2.1,"19,326","63,572","89,746",12,4,0.0020
2021/01/20-12:04,2.8,"21,864","68,097","95,104",15,9,0.2728
2021/01/20-12:05,3.5,"24,562","72,782","100,622",19,9,0.2728
2021/01/20-12:06,4.2,"27,421","77,627","106,300",22,9,0.2728
2021/01/20-12:07,4.9,"30,439","82,632","112,139",24,14,0.8230
2021/01/20-12:08,5.5,"33,253","87,199","117,440",26,14,0.8230
2021/01/20-12:09,6.2,"36,573","92,506","123,581",27,10,0.4020
2021/01/20-12:10,7.0,"40,054","97,973","129,881",30,14,0.8230
2021/01/20-12:11,5.6,"33,752","87,737","117,995",22,10,0.4020
2021/01/20-12:12,6.3,"37,075","93,047","124,138",24,11,0.5083
2021/01/20-12:13,6.9,"40,072","97,718","129,512",27,14,0.8230
2021/01/20-12:14,7.6,"43,690","103,324","135,951",28,14,0.8230
2021/01/20-12:15,8.3,"47,469","109,090","142,550",30,13,0.7512
2021/01/20-12:16,6.2,"37,673","93,567","124,625",22,10,0.4020
2021/01/20-12:17,6.9,"41,150","99,031","130,923",24,12,0.6502
2021/01/20-12:18,6.8,"40,018","97,353","129,016",26,10,0.4020
2021/01/20-12:19,7.5,"43,611","102,933","135,429",26,10,0.4020
2021/01/20-12:20,8.2,"47,365","108,674","142,003",29,12,0.6502
2021/01/20-12:21,6.5,"39,630","96,380","127,798",22,12,0.6502
2021/01/20-12:22,7.2,"43,176","101,914","134,165",24,13,0.7512
2021/01/20-12:23,5.6,"34,228","88,408","118,747",23,12,0.6502
2021/01/20-12:24,6.3,"37,850","94,780","126,417",26,14,0.8230
2021/01/20-12:25,7.1,"41,434","100,428","132,931",28,15,0.8843
2021/01/20-12:26,5.6,"34,475","89,223","119,945",23,10,0.4020
2021/01/20-12:27,6.3,"37,883","94,696","126,283",25,14,0.8230
2021/01/20-12:28,6.8,"40,122","98,182","130,292",27,12,0.6502
2021/01/20-12:29,7.5,"43,797","103,921","136,897",28,14,0.8230
2021/01/20-12:30,8.2,"47,638","109,827","143,669",30,17,0.9649
2021/01/20-12:31,6.4,"39,090","97,703","130,333",24,16,0.9363
2021/01/20-12:32,7.2,"42,693","103,370","136,866",27,17,0.9649
2021/01/20-12:33,7.9,"46,462","109,204","143,566",29,19,0.9893
2021/01/20-12:34,8.6,"50,397","115,204","150,432",31,21,0.9968
2021/01/20-12:35,9.4,"54,499","121,371","157,464",33,18,0.9807
2021/01/20-12:36,7.0,"42,456","102,549","135,800",24,18,0.9807
2021/01/20-12:37,7.7,"46,178","108,335","142,452",27,18,0.9807
2021/01/20-12:38,8.3,"49,700","113,689","148,573",29,18,0.9807
2021/01/20-12:39,9.1,"53,736","119,790","155,540",30,19,0.9893
2021/01/20-12:40,9.8,"58,181","127,024","164,088",32,19,0.9893
2021/01/20-12:41,6.9,"42,841","103,541","137,191",25,14,0.8230
2021/01/20-12:42,7.7,"46,553","109,319","143,834",27,13,0.7512
2021/01/20-12:43,8.3,"49,944","114,463","149,713",29,14,0.8230
2021/01/20-12:44,9.0,"53,965","120,548","156,664",30,16,0.9363
2021/01/20-12:45,9.8,"58,151","126,799","163,781",32,18,0.9807
2021/01/20-12:46,7.0,"43,640","104,536","138,267",25,18,0.9807
2021/01/20-12:47,7.7,"47,368","110,329","144,926",27,15,0.8843
2021/01/20-12:48,7.8,"48,051","111,284","145,995",29,12,0.6502
2021/01/20-12:49,8.6,"51,968","117,265","152,842",29,15,0.8843
2021/01/20-12:50,9.3,"56,051","123,413","159,856",31,16,0.9363
2021/01/20-12:51,6.4,"40,659","100,721","134,247",25,16,0.9363
2021/01/20-12:52,7.2,"44,262","106,388","140,780",27,16,0.9363
2021/01/20-12:53,5.6,"34,982","92,746","125,307",25,14,0.8230
2021/01/20-12:54,6.3,"38,399","98,228","131,655",28,15,0.8843
2021/01/20-12:55,7.1,"42,023","103,955","138,265",30,17,0.9649
2021/01/20-12:56,5.6,"34,889","92,574","125,103",25,13,0.7512
2021/01/20-12:57,6.3,"37,748","96,540","129,389",27,15,0.8843
2021/01/20-12:58,6.8,"39,777","99,777","133,132",29,18,0.9807
2021/01/20-12:59,7.5,"43,433","105,497","139,718",29,16,0.9363
2021/01/20-13:00,8.2,"47,255","111,384","146,471",32,18,0.9807
2021/01/20-13:01,6.0,"36,758","93,969","126,011",23,14,0.8230
2021/01/20-13:02,6.7,"40,288","99,602","132,526",26,13,0.7512
2021/01/20-13:03,7.5,"43,988","105,405","139,212",29,14,0.8230
