time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:00,0.0,"35,539","142,213","208,112",32,18,0.9807
2021/01/20-12:01,0.7,"41,168","153,252","221,420",34,20,0.9941
2021/01/20-12:02,1.4,"47,233","164,728","235,164",36,19,0.9893
2021/01/20-12:03,2.1,"53,847","176,860","249,611",38,19,0.9893
2021/01/20-12:04,2.8,"60,906","189,438","264,503",39,20,0.9941
2021/01/20-12:05,3.5,"68,410","202,461","279,840",40,21,0.9968
2021/01/20-12:06,4.2,"76,359","215,928","295,622",41,22,0.9982
2021/01/20-12:07,4.9,"84,753","229,841","311,850",42,20,0.9941
2021/01/20-12:08,5.6,"92,576","242,534","326,584",42,21,0.9968
2021/01/20-12:09,6.3,"101,808","257,285","343,649",43,22,0.9982
2021/01/20-12:10,7.0,"111,485","272,481","361,159",44,23,0.9994
2021/01/20-12:11,5.8,"96,725","248,414","333,191",41,22,0.9982
2021/01/20-12:12,6.5,"106,096","263,305","350,395",42,22,0.9982
2021/01/20-12:13,7.0,"113,221","274,325","363,049",42,23,0.9994
2021/01/20-12:14,7.7,"123,352","289,974","381,013",43,22,0.9982
2021/01/20-12:15,8.4,"133,928","306,069","399,421",44,23,0.9994
2021/01/20-12:16,6.4,"106,941","263,284","350,011",41,22,0.9982
2021/01/20-12:17,7.1,"116,688","278,549","367,591",42,21,0.9968
2021/01/20-12:18,6.8,"112,629","272,434","360,614",41,19,0.9893
2021/01/20-12:19,7.5,"122,655","287,979","378,473",42,20,0.9941
2021/01/20-12:20,8.2,"133,126","303,969","396,777",43,20,0.9941
2021/01/20-12:21,6.3,"107,162","263,180","349,771",41,23,0.9994
2021/01/20-12:22,7.0,"116,883","278,419","367,325",42,22,0.9982
2021/01/20-12:23,5.4,"91,999","240,984","324,625",41,23,0.9994
2021/01/20-12:24,6.2,"101,937","258,561","345,806",43,24,0.9998
2021/01/20-12:25,6.9,"111,770","274,129","363,778",44,23,0.9994
2021/01/20-12:26,5.8,"98,222","252,465","338,711",42,22,0.9982
2021/01/20-12:27,6.6,"107,862","267,840","356,492",43,22,0.9982
2021/01/20-12:28,7.0,"113,258","276,157","366,034",43,24,0.9998
2021/01/20-12:29,7.7,"123,596","292,231","384,513",44,25,0.9999
2021/01/20-12:30,8.4,"134,397","308,767","403,454",45,25,0.9999
2021/01/20-12:31,6.6,"111,648","275,760","366,944",44,24,0.9998
2021/01/20-12:32,7.3,"121,760","291,607","385,196",45,28,1.0000
2021/01/20-12:33,8.1,"132,334","307,916","403,910",45,26,1.0000
2021/01/20-12:34,8.8,"143,370","324,688","423,087",46,25,0.9999
2021/01/20-12:35,9.5,"154,870","341,922","442,726",47,28,1.0000
2021/01/20-12:36,7.2,"121,656","290,313","383,402",44,25,0.9999
2021/01/20-12:37,7.9,"132,134","306,526","402,021",45,24,0.9998
2021/01/20-12:38,8.6,"142,397","322,092","419,810",45,23,0.9994
2021/01/20-12:39,9.3,"153,766","339,195","439,318",46,24,0.9998
2021/01/20-12:40,10.1,"166,268","359,446","463,217",47,23,0.9994
2021/01/20-12:41,6.4,"110,247","274,856","366,648",44,25,0.9999
2021/01/20-12:42,7.1,"120,236","290,581","384,778",45,25,0.9999
2021/01/20-12:43,7.7,"128,656","303,438","399,495",45,26,1.0000
2021/01/20-12:44,8.4,"139,466","319,983","418,445",45,25,0.9999
2021/01/20-12:45,9.2,"150,738","336,990","437,858",46,26,1.0000
2021/01/20-12:46,6.9,"119,206","287,387","380,676",44,25,0.9999
2021/01/20-12:47,7.6,"129,484","303,399","399,094",45,23,0.9994
2021/01/20-12:48,7.6,"129,189","302,888","398,492",44,21,0.9968
2021/01/20-12:49,8.3,"139,911","319,346","417,354",45,22,0.9982
2021/01/20-12:50,9.0,"151,096","336,266","436,679",46,22,0.9982
2021/01/20-12:51,7.3,"127,922","301,579","397,563",45,25,0.9999
2021/01/20-12:52,8.0,"138,479","317,870","416,260",45,23,0.9994
2021/01/20-12:53,5.8,"102,497","264,791","356,011",45,24,0.9998
2021/01/20-12:54,6.6,"112,138","280,167","373,792",45,22,0.9982
2021/01/20-12:55,7.3,"122,353","296,226","392,301",46,24,0.9998
2021/01/20-12:56,6.0,"106,334","270,143","361,998",45,23,0.9994
2021/01/20-12:57,6.8,"114,566","281,448","374,192",45,24,0.9998
2021/01/20-12:58,7.3,"122,029","292,915","387,339",44,24,0.9998
2021/01/20-12:59,8.0,"132,525","309,146","405,975",45,24,0.9998
2021/01/20-13:00,8.8,"143,483","325,839","425,073",46,24,0.9998
2021/01/20-13:01,6.5,"113,689","276,935","367,755",43,21,0.9968
2021/01/20-13:02,7.3,"123,843","292,932","386,204",44,22,0.9982
2021/01/20-13:03,8.0,"134,468","309,401","405,123",45,25,0.9999
2021/01/20-13:04,8.8,"145,565","326,342","424,514",46,25,0.9999
2021/01/20-13:05,9.5,"157,133","343,753","444,375",47,24,0.9998
2021/01/20-13:06,7.2,"126,077","295,166","388,438",44,23,0.9994
