time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:00,0.0,"8,870","35,539","52,014",0,0,0.0000
2021/01/20-12:01,0.7,"10,250","38,244","55,274",0,0,0.0000
2021/01/20-12:02,1.4,"11,764","41,110","58,708",0,0,0.0000
2021/01/20-12:03,2.1,"13,415","44,141","62,318",0,0,0.0000
2021/01/20-12:04,2.8,"15,177","47,283","66,038",1,0,0.0000
2021/01/20-12:05,3.5,"17,051","50,537","69,871",4,1,0.0000
2021/01/20-12:06,4.2,"19,036","53,902","73,814",10,3,0.0001
2021/01/20-12:07,4.9,"21,133","57,378","77,868",13,8,0.1730
2021/01/20-12:08,5.6,"23,171","60,688","81,711",14,7,0.0901
2021/01/20-12:09,6.3,"25,481","64,377","85,980",18,6,0.0384
2021/01/20-12:10,7.0,"27,903","68,179","90,360",20,9,0.2728
2021/01/20-12:11,5.8,"24,117","62,012","83,195",13,6,0.0384
2021/01/20-12:12,6.5,"26,458","65,733","87,494",15,7,0.0901
2021/01/20-12:13,7.0,"28,237","68,486","90,655",15,7,0.0901
2021/01/20-12:14,7.7,"30,767","72,396","95,144",19,9,0.2728
2021/01/20-12:15,8.4,"33,409","76,417","99,744",20,9,0.2728
2021/01/20-12:16,6.5,"27,116","66,445","88,229",13,6,0.0384
2021/01/20-12:17,7.2,"29,572","70,281","92,644",15,8,0.1730
2021/01/20-12:18,7.3,"30,075","71,000","93,453",14,5,0.0117
2021/01/20-12:19,8.0,"32,660","74,965","97,997",18,7,0.0901
2021/01/20-12:20,8.7,"35,356","79,041","102,651",19,8,0.1730
2021/01/20-12:21,6.6,"28,074","67,674","89,571",13,8,0.1730
2021/01/20-12:22,7.3,"30,552","71,531","94,007",15,8,0.1730
2021/01/20-12:23,5.5,"23,129","60,456","81,401",11,8,0.1730
2021/01/20-12:24,6.2,"25,621","64,858","86,703",15,11,0.5083
2021/01/20-12:25,6.9,"28,085","68,756","91,203",17,12,0.6502
2021/01/20-12:26,5.5,"23,543","61,509","82,821",13,6,0.0384
2021/01/20-12:27,6.3,"25,905","65,305","87,218",15,7,0.0901
2021/01/20-12:28,6.8,"27,541","67,860","90,159",15,7,0.0901
2021/01/20-12:29,7.5,"30,092","71,845","94,746",19,9,0.2728
2021/01/20-12:30,8.2,"32,760","75,947","99,448",20,9,0.2728
2021/01/20-12:31,7.2,"30,137","72,436","95,765",17,7,0.0901
2021/01/20-12:32,8.0,"32,767","76,501","100,431",19,8,0.1730
2021/01/20-12:33,8.7,"35,513","80,680","105,212",20,9,0.2728
2021/01/20-12:34,9.5,"38,375","84,976","110,109",23,12,0.6502
2021/01/20-12:35,10.2,"41,352","89,387","115,121",24,13,0.7512
2021/01/20-12:36,7.6,"32,337","75,286","98,887",15,9,0.2728
2021/01/20-12:37,8.3,"35,020","79,403","103,605",17,10,0.4020
2021/01/20-12:38,9.0,"37,565","83,219","107,954",18,11,0.5083
2021/01/20-12:39,9.7,"40,466","87,553","112,890",21,13,0.7512
2021/01/20-12:40,10.4,"43,651","92,676","118,925",23,15,0.8843
2021/01/20-12:41,6.6,"29,445","71,030","94,160",14,7,0.0901
2021/01/20-12:42,7.4,"31,977","74,996","98,727",16,9,0.2728
2021/01/20-12:43,8.0,"34,202","78,384","102,603",16,9,0.2728
2021/01/20-12:44,8.7,"36,944","82,560","107,379",21,12,0.6502
2021/01/20-12:45,9.4,"39,801","86,851","112,272",22,11,0.5083
2021/01/20-12:46,7.3,"31,649","74,506","98,168",16,8,0.1730
2021/01/20-12:47,8.0,"34,284","78,574","102,838",18,11,0.5083
2021/01/20-12:48,7.8,"33,556","77,441","101,535",16,9,0.2728
2021/01/20-12:49,8.5,"36,274","81,593","106,288",20,10,0.4020
2021/01/20-12:50,9.3,"39,107","85,860","111,156",22,11,0.5083
2021/01/20-12:51,6.3,"27,775","69,215","92,383",14,6,0.0384
2021/01/20-12:52,7.0,"30,255","73,128","96,898",17,9,0.2728
2021/01/20-12:53,5.4,"23,342","62,968","85,376",15,8,0.1730
2021/01/20-12:54,6.1,"25,675","66,736","89,745",18,11,0.5083
2021/01/20-12:55,6.8,"28,153","70,674","94,296",19,13,0.7512
2021/01/20-12:56,5.5,"24,039","64,017","86,573",15,9,0.2728
2021/01/20-12:57,6.2,"26,018","66,764","89,542",17,9,0.2728
2021/01/20-12:58,6.6,"27,555","69,168","92,309",16,8,0.1730
2021/01/20-12:59,7.4,"30,090","73,136","96,878",20,9,0.2728
2021/01/20-13:00,8.1,"32,740","77,220","101,563",21,10,0.4020
2021/01/20-13:01,5.8,"24,529","63,744","85,780",13,8,0.1730
2021/01/20-13:02,6.5,"26,939","67,615","90,263",15,9,0.2728
2021/01/20-13:03,7.2,"29,466","71,603","94,864",16,10,0.4020
2021/01/20-13:04,8.0,"32,112","75,710","99,583",21,16,0.9363
2021/01/20-13:05,8.8,"34,875","79,934","104,420",23,16,0.9363
2021/01/20-13:06,6.8,"28,211","69,401","92,265",15,10,0.4020
2021/01/20-13:07,7.5,"30,780","73,431","96,908",17,11,0.5083
2021/01/20-13:08,8.2,"32,843","76,127","99,769",18,12,0.6502
2021/01/20-13:09,8.9,"35,593","80,311","104,554",21,13,0.7512
2021/01/20-13:10,9.7,"38,459","84,611","109,456",22,13,0.7512
2021/01/20-13:11,7.0,"29,187","70,172","92,850",14,9,0.2728
2021/01/20-13:12,7.8,"31,780","74,226","97,516",17,11,0.5083
2021/01/20-13:13,8.2,"33,194","75,867","99,153",15,9,0.2728
2021/01/20-13:14,8.9,"35,936","80,042","103,929",19,11,0.5083
2021/01/20-13:15,9.6,"38,793","84,333","108,822",21,12,0.6502
2021/01/20-13:16,7.2,"30,981","72,112","94,751",14,8,0.1730
2021/01/20-13:17,7.9,"33,598","76,163","99,404",16,9,0.2728
2021/01/20-13:18,7.0,"29,062","69,841","92,333",14,7,0.0901
2021/01/20-13:19,7.7,"31,651","73,864","96,957",19,9,0.2728
2021/01/20-13:20,8.5,"34,355","78,002","101,697",20,10,0.4020
2021/01/20-13:21,7.0,"29,673","70,452","92,944",14,8,0.1730
2021/01/20-13:22,7.7,"32,290","74,530","97,634",16,9,0.2728
2021/01/20-13:23,5.6,"23,557","61,685","83,065",13,7,0.0901
2021/01/20-13:24,6.4,"25,960","65,549","87,542",17,11,0.5083
2021/01/20-13:25,7.1,"28,482","69,531","92,136",18,9,0.2728
2021/01/20-13:26,5.8,"24,098","62,470","83,952",14,6,0.0384
2021/01/20-13:27,6.5,"26,521","66,354","88,448",16,7,0.0901
2021/01/20-13:28,7.0,"28,259","69,038","91,530",16,7,0.0901
2021/01/20-13:29,7.7,"30,876","73,116","96,221",20,9,0.2728
2021/01/20-13:30,8.5,"33,611","77,312","101,029",21,10,0.4020
2021/01/20-13:31,6.7,"27,788","68,026","90,291",15,8,0.1730
2021/01/20-13:32,7.5,"30,361","72,060","94,938",17,10,0.4020
2021/01/20-13:33,8.2,"33,053","76,212","99,702",18,10,0.4020
2021/01/20-13:34,9.0,"35,862","80,482","104,585",21,13,0.7512
2021/01/20-13:35,9.7,"38,789","84,870","109,585",23,15,0.8843
2021/01/20-13:36,7.2,"29,984","71,168","93,831",15,10,0.4020
