time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-13:24,17.8,"109,099","187,492","227,267",62,27,1.0000
2021/01/20-13:25,18.6,"114,525","194,753","235,298",65,29,1.0000
2021/01/20-13:26,18.7,"117,332","197,889","238,571",63,28,1.0000
2021/01/20-13:27,12.0,"68,846","132,695","166,371",47,21,0.9968
2021/01/20-13:28,12.7,"73,100","138,784","173,230",51,23,0.9994
2021/01/20-13:29,13.5,"77,501","145,021","180,236",55,26,1.0000
2021/01/20-13:30,14.2,"82,051","151,406","187,391",58,27,1.0000
2021/01/20-13:31,14.2,"82,754","152,057","188,020",56,25,0.9999
2021/01/20-13:32,11.1,"61,318","123,072","155,869",53,24,0.9998
2021/01/20-13:33,11.9,"65,402","128,992","162,559",57,28,1.0000
2021/01/20-13:34,12.6,"69,635","135,060","169,396",59,26,1.0000
2021/01/20-13:35,13.3,"74,015","141,276","176,382",62,31,1.0000
2021/01/20-13:36,13.1,"73,591","140,193","175,023",58,28,1.0000
2021/01/20-13:37,13.7,"76,761","144,236","179,368",60,28,1.0000
2021/01/20-13:38,14.5,"81,315","150,608","186,502",62,32,1.0000
2021/01/20-13:39,15.2,"86,015","157,126","193,783",63,30,1.0000
2021/01/20-13:40,15.9,"90,862","163,791","201,211",66,32,1.0000
2021/01/20-13:41,15.9,"91,750","164,523","201,877",63,31,1.0000
2021/01/20-13:42,15.7,"91,736","164,093","201,273",61,30,1.0000
2021/01/20-13:43,16.4,"96,792","171,289","209,430",64,32,1.0000
2021/01/20-13:44,17.1,"101,703","177,879","216,725",66,32,1.0000
2021/01/20-13:45,17.8,"106,932","184,927","224,535",67,32,1.0000
2021/01/20-13:46,17.9,"109,148","187,603","227,468",65,31,1.0000
2021/01/20-13:47,14.3,"84,041","153,926","190,197",55,23,0.9994
2021/01/20-13:48,15.0,"88,737","160,440","197,473",58,25,0.9999
2021/01/20-13:49,15.7,"93,598","167,136","204,939",59,25,0.9999
2021/01/20-13:50,16.5,"98,734","174,446","213,225",61,25,0.9999
2021/01/20-13:51,16.3,"99,443","174,809","213,443",58,24,0.9998
2021/01/20-13:52,16.8,"103,393","179,954","219,089",59,25,0.9999
2021/01/20-13:53,17.5,"108,638","187,051","226,963",61,27,1.0000
2021/01/20-13:54,18.1,"113,000","192,781","233,266",62,28,1.0000
2021/01/20-13:55,18.8,"118,504","200,138","241,400",66,30,1.0000
2021/01/20-13:56,19.1,"121,638","203,722","245,173",64,27,1.0000
2021/01/20-13:57,11.8,"70,239","134,334","168,241",47,23,0.9994
2021/01/20-13:58,12.6,"74,460","140,391","175,067",50,25,0.9999
2021/01/20-13:59,13.3,"78,830","146,595","182,042",56,27,1.0000
2021/01/20-14:00,14.1,"83,347","152,948","189,164",57,28,1.0000
2021/01/20-14:01,14.1,"84,681","154,656","191,092",56,27,1.0000
2021/01/20-14:02,10.8,"60,193","121,892","154,858",54,26,1.0000
2021/01/20-14:03,11.5,"64,195","127,730","161,465",58,26,1.0000
2021/01/20-14:04,12.1,"67,470","132,119","166,258",58,27,1.0000
2021/01/20-14:05,12.8,"71,826","138,615","173,716",61,27,1.0000
2021/01/20-14:06,12.6,"71,321","137,573","172,449",59,25,0.9999
2021/01/20-14:07,13.3,"74,642","141,940","177,190",62,28,1.0000
2021/01/20-14:08,14.0,"79,086","148,185","184,190",63,29,1.0000
2021/01/20-14:09,14.2,"77,968","147,195","183,190",63,29,1.0000
2021/01/20-14:10,14.9,"82,576","153,586","190,329",66,30,1.0000
2021/01/20-14:11,14.1,"78,643","147,132","182,754",59,27,1.0000
2021/01/20-14:12,14.4,"81,033","150,198","186,103",59,27,1.0000
2021/01/20-14:13,15.1,"85,752","157,004","193,849",61,29,1.0000
2021/01/20-14:14,15.8,"90,522","163,558","201,150",64,29,1.0000
2021/01/20-14:15,16.5,"95,437","170,256","208,596",65,30,1.0000
2021/01/20-14:16,16.9,"99,012","174,766","213,498",65,29,1.0000
2021/01/20-14:17,14.3,"79,265","148,510","184,512",58,23,0.9994
2021/01/20-14:18,15.0,"83,892","154,937","191,694",59,22,0.9982
2021/01/20-14:19,15.7,"88,664","161,509","199,022",61,24,0.9998
2021/01/20-14:20,16.5,"93,581","168,227","206,495",63,24,0.9998
2021/01/20-14:21,16.5,"95,303","170,036","208,340",60,23,0.9994
2021/01/20-14:22,16.7,"98,147","173,826","212,590",60,23,0.9994
2021/01/20-14:23,17.5,"103,285","180,781","220,308",61,23,0.9994
2021/01/20-14:24,18.2,"108,569","187,883","228,172",63,23,0.9994
2021/01/20-14:25,18.9,"114,000","195,132","236,183",66,26,1.0000
2021/01/20-14:26,18.8,"115,370","196,121","237,012",61,23,0.9994
2021/01/20-14:27,12.6,"73,259","138,566","172,981",45,20,0.9941
2021/01/20-14:28,13.3,"77,578","144,721","179,905",50,21,0.9968
2021/01/20-14:29,14.0,"82,045","151,023","186,977",55,24,0.9998
2021/01/20-14:30,14.8,"86,661","157,473","194,197",57,26,1.0000
2021/01/20-14:31,14.8,"88,034","158,847","195,571",54,23,0.9994
2021/01/20-14:32,11.7,"66,376","129,692","163,272",52,24,0.9998
2021/01/20-14:33,12.3,"70,244","135,205","169,475",57,24,0.9998
2021/01/20-14:34,13.1,"74,554","141,367","176,414",58,25,0.9999
2021/01/20-14:35,13.8,"79,012","147,678","183,502",60,27,1.0000
2021/01/20-14:36,13.8,"79,831","148,323","184,074",58,26,1.0000
2021/01/20-14:37,14.5,"84,443","154,805","191,341",62,28,1.0000
2021/01/20-14:38,15.2,"89,206","161,438","198,758",63,27,1.0000
2021/01/20-14:39,16.0,"94,119","168,222","206,325",65,27,1.0000
2021/01/20-14:40,16.8,"99,184","175,156","214,044",68,29,1.0000
2021/01/20-14:41,16.3,"98,211","173,058","211,474",63,27,1.0000
2021/01/20-14:42,16.3,"99,143","173,938","212,332",61,26,1.0000
2021/01/20-14:43,17.0,"104,264","180,928","220,106",64,28,1.0000
2021/01/20-14:44,17.7,"109,478","188,213","228,324",66,27,1.0000
2021/01/20-14:45,18.5,"114,908","195,531","236,433",67,29,1.0000
2021/01/20-14:46,18.5,"116,851","197,439","238,326",65,29,1.0000
2021/01/20-14:47,15.6,"94,347","167,393","205,054",57,22,0.9982
2021/01/20-14:48,16.3,"99,326","174,243","212,687",60,25,0.9999
2021/01/20-14:49,17.1,"104,457","181,243","220,472",61,25,0.9999
2021/01/20-14:50,17.6,"108,648","186,802","226,605",62,26,1.0000
2021/01/20-14:51,17.8,"111,673","190,686","230,912",61,25,0.9999
2021/01/20-14:52,18.3,"115,454","195,114","235,548",61,25,0.9999
2021/01/20-14:53,19.1,"120,967","202,497","243,715",63,27,1.0000
2021/01/20-14:54,19.8,"126,630","210,030","252,033",65,28,1.0000
2021/01/20-14:55,20.6,"132,445","217,715","260,501",68,30,1.0000
2021/01/20-14:56,20.6,"135,610","221,226","264,158",65,28,1.0000
2021/01/20-14:57,12.6,"75,293","140,842","175,359",47,22,0.9982
2021/01/20-14:58,13.3,"79,668","147,087","182,388",51,23,0.9994
2021/01/20-14:59,14.1,"84,193","153,482","189,567",56,25,0.9999
2021/01/20-15:00,14.8,"88,869","160,029","196,898",59,26,1.0000
2021/01/20-15:01,15.0,"91,131","163,080","200,344",58,26,1.0000
2021/01/20-15:02,11.8,"66,787","130,667","164,548",56,27,1.0000
2021/01/20-15:03,12.5,"71,001","136,751","171,416",60,28,1.0000
2021/01/20-15:04,13.3,"75,366","142,986","178,435",62,28,1.0000
2021/01/20-15:05,14.0,"79,882","149,372","185,605",65,34,1.0000
2021/01/20-15:06,13.5,"77,166","145,288","180,948",60,30,1.0000
2021/01/20-15:07,14.0,"80,800","150,342","186,597",63,29,1.0000
2021/01/20-15:08,14.7,"85,128","156,315","193,259",65,30,1.0000
2021/01/20-15:09,15.2,"88,491","160,655","197,945",65,31,1.0000
2021/01/20-15:10,15.8,"92,800","166,487","204,417",67,32,1.0000
2021/01/20-15:11,16.0,"95,054","169,122","207,211",65,31,1.0000
2021/01/20-15:12,15.6,"93,970","167,190","204,923",62,30,1.0000
2021/01/20-15:13,16.4,"99,054","174,448","213,157",64,31,1.0000
2021/01/20-15:14,17.1,"104,178","181,425","220,911",67,31,1.0000
2021/01/20-15:15,17.9,"109,471","188,587","228,857",68,33,1.0000
2021/01/20-15:16,18.2,"112,682","192,474","233,027",67,32,1.0000
2021/01/20-15:17,14.5,"82,516","153,270","190,033",58,25,0.9999
2021/01/20-15:18,15.3,"87,285","159,909","197,456",60,25,0.9999
2021/01/20-15:19,16.0,"92,312","167,128","205,659",62,27,1.0000
2021/01/20-15:20,16.8,"96,456","172,405","211,346",62,27,1.0000
2021/01/20-15:21,16.7,"97,793","173,533","212,388",60,26,1.0000
2021/01/20-15:22,17.0,"100,411","176,810","215,940",60,26,1.0000
2021/01/20-15:23,17.7,"105,635","183,903","223,817",62,27,1.0000
2021/01/20-15:24,18.5,"111,118","191,578","232,475",64,29,1.0000
2021/01/20-15:25,19.2,"116,643","198,973","240,654",67,29,1.0000
2021/01/20-15:26,19.1,"118,178","200,283","241,870",64,28,1.0000
2021/01/20-15:27,11.8,"66,457","130,514","164,597",48,22,0.9982
2021/01/20-15:28,12.5,"70,634","136,561","171,427",52,22,0.9982
2021/01/20-15:29,13.2,"74,961","142,758","178,409",57,25,0.9999
2021/01/20-15:30,14.0,"79,439","149,106","185,541",60,25,0.9999
2021/01/20-15:31,14.1,"81,236","151,232","187,805",58,27,1.0000
2021/01/20-15:32,11.0,"59,470","122,003","155,447",56,27,1.0000
2021/01/20-15:33,11.7,"63,542","127,962","162,197",60,28,1.0000
2021/01/20-15:34,12.5,"67,765","134,073","169,100",62,30,1.0000
2021/01/20-15:35,13.2,"71,215","138,673","174,118",64,30,1.0000
2021/01/20-15:36,13.2,"71,826","138,823","174,011",61,26,1.0000
2021/01/20-15:37,14.0,"76,273","145,123","181,087",64,29,1.0000
2021/01/20-15:38,14.7,"80,870","151,572","188,314",65,29,1.0000
2021/01/20-15:39,15.5,"85,617","158,171","195,690",67,29,1.0000
2021/01/20-15:40,16.2,"90,621","165,350","203,844",70,30,1.0000
2021/01/20-15:41,15.8,"89,091","162,695","200,717",66,32,1.0000
