time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:00,0.0,"69,675","278,755","407,917",42,20,0.9941
2021/01/20-12:01,0.7,"80,707","300,392","434,001",43,21,0.9968
2021/01/20-12:02,1.4,"92,594","322,884","460,940",44,23,0.9994
2021/01/20-12:03,2.1,"105,558","346,664","489,256",45,24,0.9998
2021/01/20-12:04,2.8,"119,393","371,316","518,444",46,24,0.9998
2021/01/20-12:05,3.5,"134,101","396,841","548,505",47,24,0.9998
2021/01/20-12:06,4.2,"149,681","423,238","579,438",47,23,0.9994
2021/01/20-12:07,4.9,"166,134","450,507","611,243",47,25,0.9999
2021/01/20-12:08,5.6,"181,468","475,385","640,124",47,24,0.9998
2021/01/20-12:09,6.3,"199,562","504,297","673,571",47,24,0.9998
2021/01/20-12:10,7.0,"218,529","534,080","707,891",48,25,0.9999
2021/01/20-12:11,7.6,"237,347","563,079","741,158",48,25,0.9999
2021/01/20-12:12,6.4,"206,094","513,162","683,415",47,26,1.0000
2021/01/20-12:13,7.0,"222,595","538,782","712,860",47,26,1.0000
2021/01/20-12:14,7.7,"242,485","569,489","748,103",47,26,1.0000
2021/01/20-12:15,8.4,"263,248","601,069","784,218",48,26,1.0000
2021/01/20-12:16,9.1,"283,096","630,673","817,914",48,26,1.0000
2021/01/20-12:17,6.6,"215,134","525,383","696,970",47,26,1.0000
2021/01/20-12:18,6.4,"206,614","512,833","682,730",47,24,0.9998
2021/01/20-12:19,7.1,"225,701","542,737","717,170",47,24,0.9998
2021/01/20-12:20,7.8,"245,660","573,512","752,481",48,25,0.9999
2021/01/20-12:21,8.3,"260,701","596,189","778,360",47,24,0.9998
2021/01/20-12:22,7.1,"229,170","546,630","721,241",47,26,1.0000
2021/01/20-12:23,6.1,"199,205","501,606","669,902",47,25,0.9999
2021/01/20-12:24,6.8,"219,520","536,895","712,253",48,25,0.9999
2021/01/20-12:25,7.6,"239,630","568,246","748,318",48,26,1.0000
2021/01/20-12:26,8.0,"253,068","588,683","771,690",48,25,0.9999
2021/01/20-12:27,6.3,"205,218","514,533","686,511",49,26,1.0000
